"time","high_pressure.value","motor_angle.value"
"2022-02-12T17:59:30.532-08:00","681.98583984375","0"
"2022-02-12T17:59:30.632-08:00","669.4464111328125","0"
"2022-02-12T17:59:30.734-08:00","675.7161865234375","0"
"2022-02-12T17:59:30.835-08:00","688.255615234375","0"
"2022-02-12T17:59:30.935-08:00","681.98583984375","0"
"2022-02-12T17:59:31.036-08:00","681.98583984375","0"
"2022-02-12T17:59:31.138-08:00","675.7161865234375","0"
"2022-02-12T17:59:31.238-08:00","675.7161865234375","0"
"2022-02-12T17:59:31.339-08:00","681.98583984375","0"
"2022-02-12T17:59:31.440-08:00","681.98583984375","0"
"2022-02-12T17:59:31.541-08:00","681.98583984375","0"
"2022-02-12T17:59:31.643-08:00","669.4464111328125","0"
"2022-02-12T17:59:31.745-08:00","688.255615234375","0"
"2022-02-12T17:59:31.845-08:00","669.4464111328125","0"
"2022-02-12T17:59:31.946-08:00","675.7161865234375","0"
"2022-02-12T17:59:32.047-08:00","681.98583984375","0"
"2022-02-12T17:59:32.148-08:00","681.98583984375","0"
"2022-02-12T17:59:32.249-08:00","681.98583984375","0"
"2022-02-12T17:59:32.351-08:00","675.7161865234375","0"
"2022-02-12T17:59:32.451-08:00","675.7161865234375","0"
"2022-02-12T17:59:32.553-08:00","681.98583984375","0"
"2022-02-12T17:59:32.654-08:00","681.98583984375","0"
"2022-02-12T17:59:32.755-08:00","681.98583984375","0"
"2022-02-12T17:59:32.855-08:00","681.98583984375","0"
"2022-02-12T17:59:32.956-08:00","688.255615234375","0"
"2022-02-12T17:59:33.057-08:00","681.98583984375","0"
"2022-02-12T17:59:33.159-08:00","675.7161865234375","0"
"2022-02-12T17:59:33.260-08:00","681.98583984375","0"
"2022-02-12T17:59:33.361-08:00","675.7161865234375","0"
"2022-02-12T17:59:33.461-08:00","681.98583984375","0"
"2022-02-12T17:59:33.562-08:00","675.7161865234375","0"
"2022-02-12T17:59:33.665-08:00","688.255615234375","0"
"2022-02-12T17:59:33.766-08:00","675.7161865234375","0"
"2022-02-12T17:59:33.866-08:00","675.7161865234375","0"
"2022-02-12T17:59:33.967-08:00","681.98583984375","0"
"2022-02-12T17:59:34.068-08:00","675.7161865234375","0"
"2022-02-12T17:59:34.170-08:00","688.255615234375","0"
"2022-02-12T17:59:34.270-08:00","681.98583984375","0"
"2022-02-12T17:59:34.371-08:00","681.98583984375","0"
"2022-02-12T17:59:34.472-08:00","681.98583984375","0"
"2022-02-12T17:59:34.573-08:00","681.98583984375","0"
"2022-02-12T17:59:34.674-08:00","675.7161865234375","0"
"2022-02-12T17:59:34.776-08:00","681.98583984375","0"
"2022-02-12T17:59:34.877-08:00","681.98583984375","0"
"2022-02-12T17:59:34.977-08:00","681.98583984375","0"
"2022-02-12T17:59:35.079-08:00","681.98583984375","0"
"2022-02-12T17:59:35.179-08:00","675.7161865234375","0"
"2022-02-12T17:59:35.280-08:00","681.98583984375","0"
"2022-02-12T17:59:35.381-08:00","681.98583984375","0"
"2022-02-12T17:59:35.482-08:00","681.98583984375","0"
"2022-02-12T17:59:35.584-08:00","675.7161865234375","0"
"2022-02-12T17:59:35.686-08:00","675.7161865234375","0"
"2022-02-12T17:59:35.786-08:00","681.98583984375","0"
"2022-02-12T17:59:35.887-08:00","681.98583984375","0"
"2022-02-12T17:59:35.988-08:00","688.255615234375","0"
"2022-02-12T17:59:36.089-08:00","675.7161865234375","0"
"2022-02-12T17:59:36.190-08:00","688.255615234375","0"
"2022-02-12T17:59:36.292-08:00","681.98583984375","0"
"2022-02-12T17:59:36.393-08:00","675.7161865234375","0"
"2022-02-12T17:59:36.494-08:00","681.98583984375","0"
"2022-02-12T17:59:36.595-08:00","675.7161865234375","0"
"2022-02-12T17:59:36.695-08:00","669.4464111328125","0"
"2022-02-12T17:59:36.796-08:00","681.98583984375","0"
"2022-02-12T17:59:36.897-08:00","675.7161865234375","0"
"2022-02-12T17:59:36.998-08:00","675.7161865234375","0"
"2022-02-12T17:59:37.100-08:00","681.98583984375","0"
"2022-02-12T17:59:37.201-08:00","669.4464111328125","0"
"2022-02-12T17:59:37.301-08:00","675.7161865234375","0"
"2022-02-12T17:59:37.402-08:00","675.7161865234375","0"
"2022-02-12T17:59:37.504-08:00","688.255615234375","0"
"2022-02-12T17:59:37.605-08:00","681.98583984375","0"
"2022-02-12T17:59:37.707-08:00","681.98583984375","0"
"2022-02-12T17:59:37.808-08:00","675.7161865234375","0"
"2022-02-12T17:59:37.909-08:00","681.98583984375","0"
"2022-02-12T17:59:38.009-08:00","675.7161865234375","0"
"2022-02-12T17:59:38.110-08:00","681.98583984375","0"
"2022-02-12T17:59:38.211-08:00","675.7161865234375","0"
"2022-02-12T17:59:38.312-08:00","675.7161865234375","0"
"2022-02-12T17:59:38.413-08:00","681.98583984375","0"
"2022-02-12T17:59:38.515-08:00","675.7161865234375","0"
"2022-02-12T17:59:38.615-08:00","681.98583984375","0"
"2022-02-12T17:59:38.716-08:00","681.98583984375","0"
"2022-02-12T17:59:38.818-08:00","675.7161865234375","0"
"2022-02-12T17:59:38.918-08:00","675.7161865234375","0"
"2022-02-12T17:59:39.020-08:00","681.98583984375","0"
"2022-02-12T17:59:39.121-08:00","681.98583984375","0"
"2022-02-12T17:59:39.221-08:00","675.7161865234375","0"
"2022-02-12T17:59:39.322-08:00","675.7161865234375","0"
"2022-02-12T17:59:39.425-08:00","675.7161865234375","0"
"2022-02-12T17:59:39.525-08:00","681.98583984375","0"
"2022-02-12T17:59:39.626-08:00","688.255615234375","0"
"2022-02-12T17:59:39.727-08:00","675.7161865234375","0"
"2022-02-12T17:59:39.828-08:00","675.7161865234375","0"
"2022-02-12T17:59:39.929-08:00","675.7161865234375","0"
"2022-02-12T17:59:40.030-08:00","681.98583984375","0"
"2022-02-12T17:59:40.132-08:00","669.4464111328125","0"
"2022-02-12T17:59:40.232-08:00","675.7161865234375","0"
"2022-02-12T17:59:40.333-08:00","669.4464111328125","0"
"2022-02-12T17:59:40.435-08:00","688.255615234375","0"
"2022-02-12T17:59:40.535-08:00","681.98583984375","0"
"2022-02-12T17:59:40.636-08:00","681.98583984375","0"
"2022-02-12T17:59:40.737-08:00","681.98583984375","0"
"2022-02-12T17:59:40.839-08:00","669.4464111328125","0"
"2022-02-12T17:59:40.940-08:00","675.7161865234375","0"
"2022-02-12T17:59:41.040-08:00","681.98583984375","0"
"2022-02-12T17:59:41.141-08:00","688.255615234375","0"
"2022-02-12T17:59:41.243-08:00","681.98583984375","0"
"2022-02-12T17:59:41.345-08:00","675.7161865234375","0"
"2022-02-12T17:59:41.446-08:00","681.98583984375","0"
